year,vendor_id,region,avg_price_per_kg,rainfall_index,temperature_avg,fertilizer_cost_index,government_incentive_score
2016,V022,Rajasthan,122.25,0.858,29.68,0.483,0.559
2017,V022,Rajasthan,113.53,0.503,28.73,0.412,0.599
2018,V022,Rajasthan,117.67,0.786,28.45,0.472,0.558
2019,V022,Rajasthan,116.79,0.439,29.1,0.521,0.633
2020,V022,Rajasthan,127.4,0.582,31.38,0.541,0.572
2021,V022,Rajasthan,123.66,0.65,31.3,0.473,0.562
2022,V022,Rajasthan,126.94,0.606,30.45,0.508,0.579
2023,V022,Rajasthan,123.77,0.52,28.39,0.478,0.541
2024,V022,Rajasthan,124.96,0.337,28.17,0.549,0.655
2005,V023,Haryana,88.54,0.487,25.97,0.308,0.557
2006,V023,Haryana,96.16,0.707,27.32,0.495,0.54
2007,V023,Haryana,91.15,0.476,27.4,0.328,0.602
2008,V023,Haryana,94.8,0.472,28.04,0.364,0.698
2009,V023,Haryana,99.63,0.566,25.66,0.294,0.492
2010,V023,Haryana,100.2,0.457,24.5,0.485,0.65
2011,V023,Haryana,101.68,0.706,23.46,0.364,0.686
2012,V023,Haryana,101.89,0.617,27.52,0.501,0.757
2013,V023,Haryana,98.04,0.404,28.35,0.372,0.562
2014,V023,Haryana,106.92,0.392,26.98,0.413,0.49
2015,V023,Haryana,110.91,0.567,27.63,0.424,0.478
2016,V023,Haryana,116.27,0.774,24.92,0.484,0.445
2017,V023,Haryana,112.75,0.648,23.87,0.426,0.613
2018,V023,Haryana,107.22,0.555,23.16,0.451,0.562
2019,V023,Haryana,109.25,0.391,26.23,0.481,0.346
2020,V023,Haryana,123.15,0.615,24.97,0.475,0.522
2021,V023,Haryana,121.89,0.714,27.58,0.403,0.657
2022,V023,Haryana,125.86,1.0,24.98,0.606,0.556
2023,V023,Haryana,122.0,0.497,24.89,0.546,0.438
2024,V023,Haryana,123.15,0.371,24.18,0.603,0.541
2005,V024,Haryana,96.4,0.639,26.55,0.442,0.482
2006,V024,Haryana,97.12,0.83,26.6,0.397,0.486
2007,V024,Haryana,95.45,0.689,27.37,0.381,0.668
2008,V024,Haryana,95.58,0.539,25.94,0.428,0.603
2009,V024,Haryana,92.05,0.452,24.04,0.37,0.62
2010,V024,Haryana,92.32,0.613,24.8,0.343,0.534
2011,V024,Haryana,104.35,0.523,25.79,0.449,0.577
2012,V024,Haryana,99.08,0.786,26.75,0.408,0.649
2013,V024,Haryana,97.18,0.439,26.75,0.377,0.662
2014,V024,Haryana,104.4,0.465,26.01,0.454,0.354
2015,V024,Haryana,108.04,0.73,27.38,0.455,0.676
2016,V024,Haryana,112.16,0.742,25.56,0.524,0.628
2017,V024,Haryana,113.44,0.48,24.44,0.475,0.447
2018,V024,Haryana,110.58,0.677,24.88,0.469,0.47
2019,V024,Haryana,110.14,0.394,26.27,0.482,0.379
2020,V024,Haryana,115.53,0.768,27.62,0.433,0.624
2021,V024,Haryana,118.55,0.702,27.39,0.576,0.451
2022,V024,Haryana,119.49,0.733,25.44,0.378,0.54
2023,V024,Haryana,118.44,0.555,25.02,0.588,0.403
2024,V024,Haryana,121.59,0.559,24.13,0.542,0.346
2005,V025,Maharashtra,94.24,0.524,28.05,0.372,0.466
2006,V025,Maharashtra,97.01,0.626,29.66,0.368,0.446
2007,V025,Maharashtra,95.73,0.49,30.39,0.353,0.553
2008,V025,Maharashtra,88.1,0.402,28.42,0.341,0.688
2009,V025,Maharashtra,94.73,0.498,26.39,0.37,0.552
2010,V025,Maharashtra,99.08,0.542,25.33,0.416,0.7
2011,V025,Maharashtra,108.65,0.776,25.81,0.495,0.55
2012,V025,Maharashtra,103.56,0.804,28.62,0.448,0.558
2013,V025,Maharashtra,102.39,0.615,27.6,0.374,0.521
2014,V025,Maharashtra,109.39,0.624,27.9,0.447,0.363
2015,V025,Maharashtra,111.8,0.637,27.96,0.514,0.654
2016,V025,Maharashtra,114.2,0.747,26.78,0.503,0.72
2017,V025,Maharashtra,104.79,0.658,25.5,0.499,0.605
2018,V025,Maharashtra,108.02,0.455,26.59,0.42,0.604
2019,V025,Maharashtra,112.3,0.42,28.84,0.573,0.522
2020,V025,Maharashtra,124.11,0.589,29.06,0.537,0.384
2021,V025,Maharashtra,126.12,0.658,29.39,0.508,0.407
2022,V025,Maharashtra,119.24,0.705,29.41,0.469,0.632
2023,V025,Maharashtra,117.26,0.371,27.27,0.5,0.633
2024,V025,Maharashtra,118.94,0.398,26.45,0.495,0.679
2005,V026,California,109.13,0.417,23.17,0.268,0.376
2006,V026,California,113.66,0.793,24.69,0.383,0.449
2007,V026,California,108.61,0.426,25.15,0.378,0.48
2008,V026,California,110.37,0.555,23.6,0.419,0.385
2009,V026,California,114.31,0.381,24.13,0.416,0.578
2010,V026,California,122.15,0.512,21.91,0.467,0.355
2011,V026,California,121.98,0.923,22.5,0.446,0.698
2012,V026,California,118.79,0.394,24.57,0.326,0.428
2013,V026,California,121.42,0.593,25.35,0.494,0.365
2014,V026,California,122.37,0.549,26.18,0.463,0.573
2015,V026,California,134.13,0.836,25.24,0.539,0.284
2016,V026,California,133.54,0.73,22.51,0.498,0.582
2017,V026,California,129.34,0.574,21.86,0.532,0.518
2018,V026,California,129.65,0.318,21.97,0.576,0.307
2019,V026,California,141.62,0.43,24.15,0.537,0.431
2020,V026,California,139.54,0.622,25.03,0.539,0.469
2021,V026,California,144.25,0.521,25.94,0.525,0.484
2022,V026,California,144.9,0.692,23.95,0.484,0.534
2023,V026,California,146.13,0.534,22.63,0.589,0.477
2024,V026,California,142.75,0.423,22.72,0.572,0.383
2005,V027,Madhya Pradesh,101.39,0.716,26.27,0.418,0.617
2006,V027,Madhya Pradesh,106.65,0.754,27.48,0.362,0.29
2007,V027,Madhya Pradesh,101.13,0.731,28.2,0.359,0.447
2008,V027,Madhya Pradesh,96.06,0.363,28.67,0.397,0.394
2009,V027,Madhya Pradesh,99.77,0.494,25.43,0.447,0.554
2010,V027,Madhya Pradesh,107.45,0.508,26.42,0.453,0.578
2011,V027,Madhya Pradesh,106.17,0.783,24.88,0.432,0.739
2012,V027,Madhya Pradesh,112.84,0.682,26.96,0.371,0.647
2013,V027,Madhya Pradesh,106.7,0.461,26.93,0.443,0.65
2014,V027,Madhya Pradesh,106.06,0.446,27.59,0.482,0.636
2015,V027,Madhya Pradesh,118.29,0.737,28.77,0.383,0.413
2016,V027,Madhya Pradesh,124.17,0.9,26.91,0.448,0.452
2017,V027,Madhya Pradesh,117.02,0.773,25.31,0.55,0.628
2018,V027,Madhya Pradesh,114.69,0.481,26.17,0.484,0.506
2019,V027,Madhya Pradesh,113.17,0.3,27.37,0.441,0.455
2020,V027,Madhya Pradesh,123.99,0.375,27.61,0.598,0.522
2021,V027,Madhya Pradesh,130.91,0.728,28.4,0.45,0.725
2022,V027,Madhya Pradesh,120.8,0.472,27.43,0.472,0.636
2023,V027,Madhya Pradesh,125.71,0.769,26.52,0.581,0.701
2024,V027,Madhya Pradesh,127.11,0.472,26.23,0.547,0.437
2005,V028,Telangana,103.83,0.589,29.58,0.281,0.551
2006,V028,Telangana,103.84,0.768,29.57,0.388,0.525
2007,V028,Telangana,103.95,0.427,30.01,0.376,0.488
2008,V028,Telangana,99.29,0.467,30.24,0.338,0.46
2009,V028,Telangana,103.1,0.568,26.32,0.363,0.459
2010,V028,Telangana,111.57,0.663,25.12,0.453,0.55
2011,V028,Telangana,111.45,0.827,27.2,0.477,0.582
2012,V028,Telangana,112.1,0.861,28.46,0.356,0.406
2013,V028,Telangana,104.83,0.487,29.29,0.509,0.61
2014,V028,Telangana,107.53,0.419,29.15,0.419,0.497
2015,V028,Telangana,114.18,0.538,26.31,0.553,0.659
2016,V028,Telangana,120.68,0.579,28.71,0.555,0.571
2017,V028,Telangana,114.47,0.534,26.21,0.477,0.515
2018,V028,Telangana,112.35,0.529,26.87,0.427,0.493
2019,V028,Telangana,112.52,0.343,28.92,0.559,0.54
2020,V028,Telangana,125.4,0.576,28.36,0.474,0.728
2021,V028,Telangana,123.64,0.489,29.2,0.499,0.63
2022,V028,Telangana,128.27,0.878,29.3,0.518,0.567
2023,V028,Telangana,121.97,0.538,27.39,0.533,0.54
2024,V028,Telangana,125.49,0.515,26.94,0.513,0.717
2005,V029,Madhya Pradesh,92.95,0.511,27.35,0.374,0.42
2006,V029,Madhya Pradesh,96.29,0.537,28.57,0.235,0.408
2007,V029,Madhya Pradesh,90.4,0.512,28.3,0.473,0.327
2008,V029,Madhya Pradesh,96.42,0.802,27.57,0.318,0.725
2009,V029,Madhya Pradesh,96.97,0.458,26.31,0.382,0.553
2010,V029,Madhya Pradesh,102.08,0.536,26.64,0.416,0.594
2011,V029,Madhya Pradesh,105.63,0.636,25.4,0.332,0.565
2012,V029,Madhya Pradesh,95.84,0.564,27.51,0.426,0.524
2013,V029,Madhya Pradesh,98.05,0.477,26.42,0.49,0.636
2014,V029,Madhya Pradesh,108.53,0.624,28.64,0.485,0.515
2015,V029,Madhya Pradesh,107.25,0.635,26.63,0.464,0.467
2016,V029,Madhya Pradesh,104.8,0.548,28.05,0.527,0.747
2017,V029,Madhya Pradesh,103.73,0.533,24.98,0.424,0.684
2018,V029,Madhya Pradesh,110.55,0.655,27.67,0.406,0.691
2019,V029,Madhya Pradesh,110.63,0.557,27.27,0.479,0.488
2020,V029,Madhya Pradesh,121.49,0.703,28.8,0.46,0.497
2021,V029,Madhya Pradesh,119.33,0.586,28.49,0.516,0.562
2022,V029,Madhya Pradesh,119.88,0.767,26.86,0.506,0.704
2023,V029,Madhya Pradesh,111.81,0.508,24.77,0.532,0.78
2024,V029,Madhya Pradesh,117.59,0.54,24.3,0.508,0.655
2005,V030,Andhra Pradesh,99.26,0.663,29.34,0.363,0.466
2006,V030,Andhra Pradesh,100.27,0.735,29.78,0.351,0.406
2007,V030,Andhra Pradesh,94.41,0.507,30.67,0.381,0.588
2008,V030,Andhra Pradesh,97.88,0.617,30.01,0.339,0.53
2009,V030,Andhra Pradesh,96.28,0.3,28.48,0.501,0.484
2010,V030,Andhra Pradesh,105.5,0.65,28.49,0.337,0.598
2011,V030,Andhra Pradesh,110.11,0.722,28.65,0.454,0.416
2012,V030,Andhra Pradesh,103.89,0.663,29.06,0.412,0.654
2013,V030,Andhra Pradesh,101.48,0.446,30.32,0.491,0.6
2014,V030,Andhra Pradesh,112.05,0.656,31.48,0.432,0.598
2015,V030,Andhra Pradesh,116.52,0.767,30.35,0.434,0.493
2016,V030,Andhra Pradesh,114.57,0.719,29.2,0.533,0.463
2017,V030,Andhra Pradesh,113.3,0.683,27.12,0.538,0.602
2018,V030,Andhra Pradesh,107.75,0.338,28.05,0.373,0.666
2019,V030,Andhra Pradesh,124.43,0.898,28.85,0.485,0.67
2020,V030,Andhra Pradesh,121.42,0.339,29.68,0.529,0.625
2021,V030,Andhra Pradesh,122.68,0.404,31.15,0.469,0.378
2022,V030,Andhra Pradesh,119.67,0.686,29.28,0.512,0.548
2023,V030,Andhra Pradesh,122.18,0.558,28.61,0.538,0.49
2024,V030,Andhra Pradesh,124.93,0.414,28.68,0.466,0.536
2005,V031,Mississippi,115.29,0.618,22.45,0.252,0.51
2006,V031,Mississippi,116.66,0.707,24.43,0.359,0.414
2007,V031,Mississippi,110.92,0.672,23.68,0.435,0.556
2008,V031,Mississippi,113.19,0.542,23.03,0.342,0.308
2009,V031,Mississippi,110.66,0.3,20.69,0.386,0.465
2010,V031,Mississippi,115.13,0.431,21.91,0.372,0.507
2011,V031,Mississippi,123.0,0.834,22.3,0.389,0.496
2012,V031,Mississippi,118.95,0.627,22.87,0.431,0.366
2013,V031,Mississippi,119.92,0.312,23.2,0.438,0.371
2014,V031,Mississippi,125.0,0.31,24.99,0.481,0.356
2015,V031,Mississippi,128.67,0.567,22.64,0.36,0.412
2016,V031,Mississippi,131.06,0.557,22.03,0.473,0.441
2017,V031,Mississippi,131.83,0.742,20.6,0.494,0.558
2018,V031,Mississippi,128.97,0.478,22.66,0.409,0.338
2019,V031,Mississippi,134.19,0.605,22.23,0.474,0.369
2020,V031,Mississippi,138.93,0.512,25.46,0.541,0.534
2021,V031,Mississippi,138.29,0.544,24.04,0.535,0.55
2022,V031,Mississippi,141.68,0.625,22.53,0.55,0.343
2023,V031,Mississippi,138.62,0.44,22.34,0.519,0.373
2024,V031,Mississippi,149.33,0.686,21.65,0.59,0.266
2005,V032,Tamil Nadu,92.01,0.397,28.41,0.41,0.595
2006,V032,Tamil Nadu,94.63,0.599,30.41,0.369,0.321
2007,V032,Tamil Nadu,96.64,0.709,28.71,0.362,0.524
2008,V032,Tamil Nadu,96.29,0.634,29.01,0.285,0.476
2009,V032,Tamil Nadu,98.44,0.646,28.69,0.409,0.464
2010,V032,Tamil Nadu,97.03,0.589,28.83,0.384,0.658
2011,V032,Tamil Nadu,99.63,0.651,26.7,0.421,0.631
2012,V032,Tamil Nadu,100.44,0.575,28.93,0.447,0.63
2013,V032,Tamil Nadu,101.56,0.656,29.9,0.349,0.514
2014,V032,Tamil Nadu,109.47,0.599,29.52,0.449,0.612
2015,V032,Tamil Nadu,107.7,0.72,29.7,0.469,0.675
2016,V032,Tamil Nadu,105.82,0.6,28.65,0.522,0.495
2017,V032,Tamil Nadu,108.09,0.73,27.97,0.491,0.532
2018,V032,Tamil Nadu,108.42,0.484,29.57,0.509,0.507
2019,V032,Tamil Nadu,118.71,0.476,29.89,0.499,0.497
2020,V032,Tamil Nadu,115.25,0.679,29.69,0.518,0.606
2021,V032,Tamil Nadu,123.72,0.925,30.14,0.455,0.615
2022,V032,Tamil Nadu,118.02,0.696,30.06,0.592,0.642
2023,V032,Tamil Nadu,116.59,0.773,30.87,0.474,0.614
2024,V032,Tamil Nadu,122.05,0.478,29.08,0.501,0.426
2005,V033,Maharashtra,92.9,0.576,26.35,0.351,0.292
2006,V033,Maharashtra,97.82,0.813,28.48,0.358,0.507
2007,V033,Maharashtra,94.43,0.65,27.3,0.339,0.461
2008,V033,Maharashtra,89.2,0.402,27.86,0.39,0.507
2009,V033,Maharashtra,90.62,0.55,26.94,0.386,0.737
2010,V033,Maharashtra,99.58,0.586,25.99,0.384,0.447
2011,V033,Maharashtra,97.58,0.855,27.52,0.339,0.415
2012,V033,Maharashtra,100.04,0.714,28.41,0.409,0.533
2013,V033,Maharashtra,99.62,0.628,27.88,0.445,0.633
2014,V033,Maharashtra,109.18,0.821,29.38,0.46,0.471
2015,V033,Maharashtra,109.62,0.642,27.84,0.46,0.696
2016,V033,Maharashtra,112.94,0.72,27.95,0.474,0.46
2017,V033,Maharashtra,111.17,0.546,26.69,0.485,0.441
2018,V033,Maharashtra,107.79,0.499,25.6,0.473,0.52
2019,V033,Maharashtra,107.44,0.3,27.69,0.475,0.633
2020,V033,Maharashtra,116.87,0.493,30.22,0.489,0.661
2021,V033,Maharashtra,121.73,0.713,28.58,0.581,0.569
2022,V033,Maharashtra,118.46,0.617,29.13,0.491,0.572
2023,V033,Maharashtra,117.3,0.388,28.43,0.574,0.584
2024,V033,Maharashtra,119.83,0.626,26.38,0.552,0.71
2005,V034,Arizona,105.25,0.525,28.3,0.331,0.476
2006,V034,Arizona,111.06,0.568,27.69,0.353,0.591
2007,V034,Arizona,115.59,0.565,27.76,0.46,0.416
2008,V034,Arizona,110.44,0.529,28.51,0.444,0.474
2009,V034,Arizona,118.05,0.536,27.06,0.39,0.542
2010,V034,Arizona,117.32,0.65,24.32,0.268,0.514
2011,V034,Arizona,119.85,0.694,25.78,0.466,0.479
2012,V034,Arizona,121.29,0.687,27.42,0.396,0.4
2013,V034,Arizona,122.25,0.59,27.96,0.338,0.417
2014,V034,Arizona,124.43,0.465,29.25,0.404,0.301
2015,V034,Arizona,129.02,0.479,27.51,0.475,0.449
2016,V034,Arizona,131.1,0.751,26.57,0.435,0.36
2017,V034,Arizona,130.52,0.671,27.42,0.434,0.398
2018,V034,Arizona,129.85,0.587,26.85,0.359,0.196
2019,V034,Arizona,129.16,0.403,24.59,0.519,0.454
2020,V034,Arizona,130.74,0.454,28.26,0.469,0.474
2021,V034,Arizona,135.53,0.54,28.26,0.483,0.5
2022,V034,Arizona,137.78,0.717,29.14,0.496,0.447
2023,V034,Arizona,143.07,0.506,26.34,0.589,0.273
2024,V034,Arizona,150.7,0.64,25.76,0.54,0.248
2005,V035,Arkansas,113.74,0.62,21.75,0.291,0.644
2006,V035,Arkansas,121.8,0.76,22.7,0.405,0.436
2007,V035,Arkansas,116.31,0.506,24.59,0.48,0.539
2008,V035,Arkansas,119.51,0.616,23.82,0.325,0.508
2009,V035,Arkansas,119.15,0.606,22.28,0.346,0.58
2010,V035,Arkansas,120.07,0.609,21.49,0.425,0.504
2011,V035,Arkansas,125.78,0.732,21.72,0.384,0.334
2012,V035,Arkansas,125.39,0.548,22.52,0.372,0.458
2013,V035,Arkansas,127.64,0.495,25.1,0.479,0.382
2014,V035,Arkansas,129.55,0.501,25.67,0.47,0.506
2015,V035,Arkansas,135.19,0.505,24.62,0.374,0.344
2016,V035,Arkansas,137.64,0.567,22.01,0.392,0.348
2017,V035,Arkansas,132.27,0.434,21.03,0.507,0.42
2018,V035,Arkansas,136.67,0.369,22.22,0.499,0.394
2019,V035,Arkansas,140.36,0.561,23.12,0.473,0.428
2020,V035,Arkansas,148.61,0.553,23.56,0.552,0.365
2021,V035,Arkansas,149.18,0.74,25.01,0.452,0.495
2022,V035,Arkansas,147.35,0.618,22.32,0.545,0.209
2023,V035,Arkansas,149.16,0.607,23.91,0.581,0.345
2024,V035,Arkansas,149.61,0.344,20.79,0.512,0.201
2005,V036,Georgia,107.54,0.42,24.32,0.386,0.523
2006,V036,Georgia,116.54,0.793,25.42,0.319,0.523
2007,V036,Georgia,114.43,0.839,25.04,0.372,0.423
2008,V036,Georgia,109.35,0.4,23.78,0.387,0.584
2009,V036,Georgia,114.69,0.591,23.59,0.351,0.496
2010,V036,Georgia,115.11,0.586,22.05,0.38,0.406
2011,V036,Georgia,120.93,0.761,23.24,0.451,0.502
2012,V036,Georgia,119.95,0.565,23.28,0.372,0.573
2013,V036,Georgia,123.8,0.673,24.47,0.447,0.447
2014,V036,Georgia,124.43,0.461,25.9,0.484,0.388
2015,V036,Georgia,121.06,0.3,24.81,0.48,0.476
2016,V036,Georgia,129.86,0.456,24.44,0.406,0.571
2017,V036,Georgia,126.22,0.5,22.82,0.428,0.45
2018,V036,Georgia,128.46,0.3,23.01,0.452,0.38
2019,V036,Georgia,135.84,0.536,23.73,0.515,0.294
2020,V036,Georgia,141.13,0.696,23.62,0.462,0.337
2021,V036,Georgia,144.42,0.869,25.07,0.485,0.535
2022,V036,Georgia,144.18,0.751,23.73,0.453,0.26
2023,V036,Georgia,141.8,0.786,24.02,0.588,0.352
2024,V036,Georgia,148.56,0.589,22.62,0.559,0.437
2005,V037,Punjab,101.31,0.719,26.68,0.376,0.454
2006,V037,Punjab,101.66,0.731,26.22,0.374,0.42
2007,V037,Punjab,95.08,0.498,27.8,0.341,0.598
2008,V037,Punjab,98.77,0.465,26.18,0.357,0.601
2009,V037,Punjab,96.21,0.572,23.61,0.33,0.424
2010,V037,Punjab,104.03,0.562,24.37,0.419,0.594
2011,V037,Punjab,104.78,0.721,23.88,0.463,0.471
2012,V037,Punjab,101.34,0.559,25.67,0.437,0.57
2013,V037,Punjab,108.76,0.624,27.57,0.534,0.658
2014,V037,Punjab,110.32,0.512,27.42,0.412,0.562
2015,V037,Punjab,111.52,0.537,27.24,0.418,0.572
2016,V037,Punjab,115.92,0.761,24.52,0.557,0.373
2017,V037,Punjab,112.85,0.736,24.46,0.467,0.601
2018,V037,Punjab,113.24,0.695,25.53,0.432,0.557
2019,V037,Punjab,121.34,0.491,25.57,0.523,0.463
2020,V037,Punjab,118.29,0.577,27.81,0.471,0.66
2021,V037,Punjab,123.11,0.769,26.99,0.495,0.661
2022,V037,Punjab,124.95,0.599,25.71,0.611,0.528
2023,V037,Punjab,124.05,0.453,25.34,0.569,0.571
2024,V037,Punjab,127.08,0.648,24.17,0.486,0.534
2005,V038,Rajasthan,100.22,0.41,29.99,0.358,0.472
2006,V038,Rajasthan,105.66,0.847,31.0,0.407,0.669
2007,V038,Rajasthan,96.17,0.579,31.19,0.394,0.579
2008,V038,Rajasthan,95.36,0.343,31.8,0.354,0.521
2009,V038,Rajasthan,103.31,0.3,29.34,0.385,0.475
2010,V038,Rajasthan,105.75,0.633,28.82,0.463,0.458
2011,V038,Rajasthan,110.4,0.792,27.59,0.383,0.569
2012,V038,Rajasthan,96.9,0.333,30.42,0.359,0.333
2013,V038,Rajasthan,111.27,0.595,30.99,0.499,0.604
2014,V038,Rajasthan,110.34,0.432,30.17,0.429,0.52
2015,V038,Rajasthan,114.91,0.665,31.21,0.558,0.518
2016,V038,Rajasthan,115.4,0.627,30.53,0.446,0.498
2017,V038,Rajasthan,116.17,0.679,28.02,0.553,0.474
2018,V038,Rajasthan,109.22,0.411,29.21,0.427,0.647
2019,V038,Rajasthan,119.04,0.65,30.69,0.503,0.547
2020,V038,Rajasthan,122.27,0.604,30.34,0.533,0.495
2021,V038,Rajasthan,125.71,0.575,31.4,0.522,0.675
2022,V038,Rajasthan,123.71,0.629,31.06,0.584,0.598
2023,V038,Rajasthan,120.9,0.347,29.88,0.559,0.648
2024,V038,Rajasthan,129.38,0.527,29.3,0.538,0.534
2005,V039,New Mexico,112.59,0.656,25.07,0.348,0.739
2006,V039,New Mexico,113.6,0.742,26.98,0.386,0.498
2007,V039,New Mexico,106.73,0.338,26.63,0.346,0.649
2008,V039,New Mexico,112.12,0.477,24.81,0.404,0.514
2009,V039,New Mexico,114.31,0.469,23.26,0.425,0.532
2010,V039,New Mexico,117.23,0.642,24.82,0.386,0.489
2011,V039,New Mexico,120.55,0.661,24.71,0.397,0.446
2012,V039,New Mexico,123.0,0.662,23.8,0.484,0.398
2013,V039,New Mexico,122.3,0.545,26.71,0.449,0.361
2014,V039,New Mexico,121.71,0.42,27.29,0.48,0.457
2015,V039,New Mexico,132.83,0.634,23.79,0.489,0.448
2016,V039,New Mexico,126.19,0.323,24.57,0.475,0.276
2017,V039,New Mexico,132.34,0.766,24.12,0.437,0.231
2018,V039,New Mexico,126.2,0.488,23.74,0.493,0.42
2019,V039,New Mexico,131.38,0.334,23.36,0.527,0.481
2020,V039,New Mexico,140.15,0.459,25.96,0.42,0.351
2021,V039,New Mexico,140.44,0.725,27.07,0.414,0.486
2022,V039,New Mexico,140.48,0.649,26.71,0.476,0.478
2023,V039,New Mexico,141.01,0.515,23.67,0.529,0.404
2024,V039,New Mexico,142.02,0.589,24.28,0.487,0.492
2005,V040,Andhra Pradesh,100.66,0.691,27.47,0.355,0.453
2006,V040,Andhra Pradesh,103.01,0.697,29.53,0.364,0.574
2007,V040,Andhra Pradesh,104.28,0.77,28.72,0.344,0.454
2008,V040,Andhra Pradesh,107.76,0.665,30.08,0.387,0.633
2009,V040,Andhra Pradesh,103.78,0.643,28.45,0.383,0.472
2010,V040,Andhra Pradesh,105.69,0.431,27.48,0.316,0.544
2011,V040,Andhra Pradesh,113.34,0.65,30.29,0.478,0.406
2012,V040,Andhra Pradesh,110.62,0.527,27.93,0.442,0.467
2013,V040,Andhra Pradesh,109.73,0.728,29.49,0.454,0.603
2014,V040,Andhra Pradesh,112.14,0.627,30.64,0.472,0.463
2015,V040,Andhra Pradesh,115.31,0.559,28.8,0.45,0.381
2016,V040,Andhra Pradesh,119.67,0.789,28.04,0.409,0.452
2017,V040,Andhra Pradesh,115.96,0.784,27.14,0.412,0.587
2018,V040,Andhra Pradesh,119.81,0.648,28.49,0.488,0.438
2019,V040,Andhra Pradesh,121.67,0.52,30.08,0.555,0.736
2020,V040,Andhra Pradesh,129.64,0.771,30.53,0.475,0.53
2021,V040,Andhra Pradesh,129.26,0.616,31.34,0.4,0.733
2022,V040,Andhra Pradesh,124.02,0.69,29.65,0.581,0.683
2023,V040,Andhra Pradesh,127.35,0.55,28.42,0.494,0.765
2024,V040,Andhra Pradesh,130.6,0.334,27.23,0.562,0.619
2005,V041,Haryana,105.51,0.736,26.26,0.281,0.48
2006,V041,Haryana,104.81,0.743,26.92,0.309,0.493
2007,V041,Haryana,105.56,0.602,26.71,0.426,0.481
2008,V041,Haryana,98.07,0.61,25.84,0.276,0.368
2009,V041,Haryana,106.93,0.585,25.66,0.279,0.4
2010,V041,Haryana,109.88,0.6,24.99,0.482,0.503
2011,V041,Haryana,114.85,0.944,23.15,0.444,0.519
2012,V041,Haryana,107.94,0.621,26.57,0.576,0.616
2013,V041,Haryana,103.86,0.475,25.74,0.413,0.613
2014,V041,Haryana,114.32,0.606,26.88,0.433,0.705
2015,V041,Haryana,123.76,0.577,26.71,0.424,0.34
2016,V041,Haryana,115.6,0.743,25.3,0.423,0.536
2017,V041,Haryana,115.78,0.649,23.71,0.448,0.689
2018,V041,Haryana,123.41,0.605,25.41,0.507,0.637
2019,V041,Haryana,117.38,0.545,27.3,0.509,0.62
2020,V041,Haryana,127.74,0.51,27.84,0.554,0.368
2021,V041,Haryana,128.94,0.733,28.05,0.528,0.614
2022,V041,Haryana,124.38,0.486,27.22,0.521,0.571
2023,V041,Haryana,125.41,0.631,25.08,0.463,0.664
2024,V041,Haryana,131.86,0.667,24.52,0.554,0.477
2005,V042,Madhya Pradesh,95.67,0.475,27.16,0.355,0.504
2006,V042,Madhya Pradesh,95.83,0.86,27.38,0.367,0.513
2007,V042,Madhya Pradesh,96.83,0.939,28.45,0.395,0.518
2008,V042,Madhya Pradesh,91.41,0.38,26.54,0.465,0.503
2009,V042,Madhya Pradesh,96.18,0.437,25.74,0.393,0.623
2010,V042,Madhya Pradesh,102.83,0.62,25.86,0.41,0.422
2011,V042,Madhya Pradesh,100.59,0.65,25.44,0.537,0.526
2012,V042,Madhya Pradesh,106.3,0.704,28.34,0.391,0.377
2013,V042,Madhya Pradesh,98.31,0.429,27.97,0.427,0.609
2014,V042,Madhya Pradesh,107.3,0.49,28.58,0.445,0.589
2015,V042,Madhya Pradesh,112.34,0.665,26.39,0.453,0.598
2016,V042,Madhya Pradesh,109.25,0.595,25.89,0.487,0.658
2017,V042,Madhya Pradesh,111.03,0.717,25.44,0.459,0.635
2018,V042,Madhya Pradesh,110.43,0.57,26.24,0.454,0.478
2019,V042,Madhya Pradesh,111.31,0.804,26.85,0.433,0.597
2020,V042,Madhya Pradesh,120.2,0.597,28.81,0.549,0.525
2021,V042,Madhya Pradesh,117.42,0.544,28.71,0.446,0.539
2022,V042,Madhya Pradesh,121.45,0.866,26.61,0.427,0.573
2023,V042,Madhya Pradesh,113.05,0.508,26.19,0.548,0.694
2024,V042,Madhya Pradesh,123.27,0.508,24.8,0.627,0.531
2005,V043,Gujarat,94.23,0.569,27.52,0.329,0.603
2006,V043,Gujarat,101.38,0.745,29.91,0.334,0.52
2007,V043,Gujarat,100.98,0.861,31.39,0.345,0.407
2008,V043,Gujarat,96.17,0.439,29.51,0.4,0.551
2009,V043,Gujarat,96.78,0.469,27.94,0.33,0.698
2010,V043,Gujarat,104.53,0.496,29.89,0.346,0.482
2011,V043,Gujarat,108.5,0.821,29.27,0.435,0.424
2012,V043,Gujarat,109.52,0.881,27.88,0.48,0.553
2013,V043,Gujarat,103.17,0.452,30.77,0.463,0.637
2014,V043,Gujarat,105.59,0.319,31.12,0.461,0.448
2015,V043,Gujarat,108.62,0.428,29.0,0.393,0.509
2016,V043,Gujarat,116.95,0.816,29.35,0.421,0.582
2017,V043,Gujarat,115.21,0.636,28.41,0.443,0.426
2018,V043,Gujarat,118.09,0.865,26.87,0.515,0.524
2019,V043,Gujarat,115.61,0.305,28.38,0.494,0.506
2020,V043,Gujarat,128.32,0.711,31.47,0.521,0.453
2021,V043,Gujarat,124.55,0.756,31.72,0.533,0.43
